id,level,code,category,name,support,threshold,precision,recall,f1
main_c01,main,1,,美学景观体验,2025,0.4915545449050568,0.9267068273092369,0.9116049382716049,0.919093851132686
main_c02,main,2,,游憩活动与运动体验,1694,0.5101731055145131,0.9115727002967359,0.9067296340023613,0.9091447173720035
main_c03,main,3,,蓝空间亲水体验,1148,0.48983624492734973,0.8948339483394834,0.8449477351916377,0.8691756272401433
main_c04,main,4,,生态自然与生物感知,1152,0.43372259007942227,0.8968609865470852,0.8680555555555556,0.8822232024702249
main_c05,main,5,,文化遗产与地方认同,185,0.30995085913974213,0.7070707070707071,0.7567567567567568,0.731070496083551
main_c06,main,6,,教育科普与认知体验,129,0.23178875867186066,0.6231884057971014,0.6666666666666666,0.644194756554307
main_c07,main,7,,精神恢复与心理舒适,982,0.5036922720683039,0.9165763813651138,0.8615071283095723,0.8881889763779527
main_c08,main,8,,社交亲子与全龄共享,1023,0.47158293606666063,0.9001937984496124,0.9081133919843597,0.9041362530413626
main_c09,main,9,,可达交通与游线导向,885,0.46521870244075375,0.89988358556461,0.8734463276836159,0.886467889908257
main_c10,main,10,,设施维护与管理服务,662,0.4489658760040614,0.8809523809523809,0.7824773413897281,0.8288000000000001
main_c11,main,11,,空间承载与秩序体验,592,0.5216416816107556,0.8670634920634921,0.7381756756756757,0.7974452554744526
main_c12,main,12,,环境舒适与微气候,469,0.4525671715847289,0.8661971830985915,0.7867803837953091,0.8245810055865921
sub_c01_s01,sub,1,美学景观体验,自然景观观赏,1403,0.48403514770008543,0.9464684014869889,0.9073414112615823,0.9264919941775837
sub_c01_s02,sub,1,美学景观体验,园林设计审美,207,0.38171123365686477,0.6764705882352942,0.6666666666666666,0.6715328467153284
sub_c01_s03,sub,1,美学景观体验,赏花季相,317,0.4555545487097144,0.8850174216027874,0.8012618296529969,0.8410596026490067
sub_c01_s04,sub,1,美学景观体验,拍照打卡,645,0.42940763351772515,0.925984251968504,0.9116279069767442,0.9187500000000001
sub_c01_s05,sub,1,美学景观体验,夜景灯光,447,0.48357626354858496,0.9061728395061729,0.8210290827740492,0.8615023474178404
sub_c02_s01,sub,2,游憩活动与运动体验,散步跑步,884,0.43306203165288165,0.9331823329558324,0.9321266968325792,0.9326542161856254
sub_c02_s02,sub,2,游憩活动与运动体验,骑行徒步,529,0.4026845882623654,0.8745454545454545,0.9092627599243857,0.891566265060241
